	sum 	deprecate?	flag for upgrade?	comments
PureCLIP/1.0.1	3			
PyCairo/1.10.0-foss-2016b-Python-2.7.13	0			
PyClone/0.13.1-foss-2016b-Python-2.7.13	0			
PyQt/4.12-foss-2016a-Python-2.7.11	0			
PySlurm/17.02.9-foss-2016b-Python-2.7.11	0			
PySlurm/17.02.9-foss-2016b-Python-2.7.13	0			
PyYAML/3.12	1			
PyYAML/3.13-foss-2018b-Python-3.7.0	2			
PyYAML/5.3.1-foss-2018b-Python-3.7.0	4			
Pysam/0.10.0-foss-2016a-Python-2.7.11	90			
Pysam/0.14.1-foss-2016b-Python-2.7.13	1034			
Pysam/0.15.3-foss-2018b-Python-2.7.15	365			
Pysam/0.15.3-foss-2018b-Python-3.7.0	4			
Pysam/0.9.1.4-foss-2016b-Python-2.7.12	4			
Python/2.7.11-foss-2016a	1936			
Python/2.7.11-foss-2016b	3874			
Python/2.7.12-foss-2016b	5			
Python/2.7.13-foss-2016b	21220			
Python/2.7.15-GCCcore-7.3.0-bare	3			
Python/2.7.15-foss-2018b	6229			
Python/3.5.1-foss-2016b	4182			
Python/3.6.6-foss-2018b	89			
Python/3.7.0-foss-2018b	10346			
Python/miniconda	159			
QIIME/1.9.1-foss-2016b-Python-2.7.13	1			
Qt/4.8.7-foss-2016a	1			
Quast/5.0.0.dev0	6			
Quip/1.1.8-GCCcore-4.9.3	581			
R-bundle-Bioconductor/3.4-foss-2016b-R-3.3.3	12			
R/3.2.3-foss-2016b	22			
R/3.3.3-foss-2016a	172			
R/3.3.3-foss-2016b	501			
R/3.4.1-foss-2016b	7552			
R/3.4.2-foss-2016b-fh2	335			
R/3.5.0-foss-2016b-avx2	7524			
R/3.5.1-foss-2018b	22			
R/3.6.1-foss-2018b	13120			
RAxML/8.2.12-foss-2018b-hybrid-avx2	0			
RAxML/8.2.12-foss-2018b-pthreads-avx2	0			
RAxML/8.2.9-foss-2016a-hybrid-avx2	0			
RAxML/8.2.9-foss-2016a-hybrid-sse3	0			
RAxML/8.2.9-foss-2016a-pthreads-avx2	4			
RAxML/8.2.9-foss-2016a-pthreads-sse3	0			
REMORA/1.8.2-foss-2016a	0			
REMORA/1.8.2-foss-2016b	0			
RMBlast/2.2.28-foss-2016a-Python-2.7.11	20			
ROOT/v6.08.02-foss-2016a-Python-2.7.11	1			
RSEM/1.3.0-foss-2016b	1456			
RSEQtools/0.6-foss-2016a	0			
RSeQC/2.6.4-foss-2016a-Python-2.7.11-R-3.3.3	91			
RStudio/1.1.383-foss-2016b-R-3.4.1	9			
RStudio/1.1.442	352			
RStudio/1.1.442-foss-2016b-R-3.4.2-fh2	109			
RStudio/1.2.5033	22			
RStudio/1.2.5042	23			
Rclone/1.42	28			
Rclone/1.51.0	95			
RepeatMasker/4.0.7	26			
Roary/20180926	1			
SAMtools/0.1.17-foss-2016a	13			
SAMtools/0.1.18-foss-2016b	3			
SAMtools/0.1.19-foss-2016a	43			
SAMtools/0.1.19-foss-2016b	1182			
SAMtools/1.11-GCCcore-7.3.0	2254			
SAMtools/1.3-foss-2016a	2			
SAMtools/1.3.1-foss-2016a	130			
SAMtools/1.3.1-foss-2016b	8095			
SAMtools/1.4-foss-2016b	2			
SAMtools/1.5-foss-2016b	626			
SAMtools/1.9-foss-2016b	16931			
SAMtools/1.9-foss-2018b	7293			
SHAPEIT/2.r837.GLIBCv2.12	1			
SIP/4.19-foss-2016a-Python-2.7.11	0			
SNAPE-pooled/28	0			
SPAdes/3.11.1	0			
SPAdes/3.12.0	0			
SPAdes/3.13.1	21			
SQLite/3.13.0-foss-2016a	172			
SQLite/3.13.0-foss-2016b	21608			
SQLite/3.24.0-GCCcore-7.3.0	11171			
