	sum 	toolchain	unused	deprecate?	flag for upgrade, then deprecate?	flag for upgrade only	hide only	comments
OpenMPI/1.10.3-GCC-5.4.0-2.26	11162	2016b		Y				who is using this?
OpenMPI/1.10.3-iccifort-2016.3.210-GCC-5.4.0-2.26	5081	2016b		Y				who is using this?
OpenMPI/2.0.1-iccifort-2017.1.132-GCC-5.4.0-2.26	57	2016b		Y				who is using this?
OpenMPI/2.1.2-GCC-6.4.0-2.28	270175	2018a					hide?	who is using this?
OpenMPI/2.1.2-iccifort-2018.1.163-GCC-6.4.0-2.28	54749	2018a					hide?	who is using this?
OpenMPI/3.1.1-GCC-7.3.0-2.30	17209	2018b						
OpenMPI/3.1.1-GCC-7.3.0-2.30-CUDA-10.1.105	2	2018b	Y					
OpenMPI/3.1.1-gcccuda-2018b	14	2018b						
OpenMPI/3.1.1-iccifort-2018.3.222-GCC-7.3.0-2.30	16007	2018b						
OpenMPI/3.1.1-iccifort-2018.3.222-GCC-7.3.0-2.30-64bitintegers	47	2018b						
OpenPGM/5.2.122-foss-2016b	23	2016b			Y			
PCRE/8.38-foss-2016b	12	2016b		Y				
PCRE/8.39-foss-2016b	12	2016b		Y				
PCRE/8.40-foss-2016b	12	2016b		Y				
PCRE/8.41-GCCcore-6.4.0	81539	2018a						
PCRE/8.41-GCCcore-7.3.0	6715	2018b						
PETSc/3.9.3-foss-2018b	3385	2018b						
PGI/17.10-GCC-6.4.0-2.28	138	2018a		Y				
PIO/2.4.4-iomkl-2018a	0	2018a	Y	Y				
PKTOOLS/2.6.7.6-foss-2018a	2855	2018a		Y				
PKTOOLS/2.6.7.6-foss-2018a-Python-3.6.4	42150	2018a			Y			
PLINK/1.90-beta6.9	652	system						
PLINK/2.00-alpha2.3	1026	system						
PLUMED/2.4.0-foss-2018a	0	2018a	Y	Y				
PLUMED/2.4.2-foss-2018b	338	2018b						
PLY/3.11-foss-2018b-Python-3.6.6	1377	2018b						
PROJ/4.9.2-foss-2016b	12	2016b		Y				
PROJ/5.0.0-foss-2018a	46177	2018a		Y				who is using this?
